mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.18609862327575682,0.008224831567386163,0.0019994735717773437,9.246215548355731e-07,0.01,1,9,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.8634867867707188,0.8273682131423884,0.7688288534268701,0.8518802382181557,0.8539759933649947,0.8331080169846257,0.03427971586171837,38,-5.847330131491446,-7.098675550634484,-7.943090551461982,-6.19195680494318,-6.598569608161042,-6.735924529338426,0.7339217086122153,38
0.10580101013183593,0.007047292632698866,0.0022998332977294924,0.0002444459265388327,0.01,1,9,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.8634867833239254,0.8273682131423884,0.7688288149776453,0.8518802459621139,0.8539759933649947,0.8331080101542134,0.03427973051846812,39,-5.84733020531045,-7.098675550634484,-7.943091212023791,-6.191956643080056,-6.598569608161042,-6.735924643841964,0.7339219320314166,39
0.10396904945373535,0.007604278032225875,0.0021999359130859377,0.00024651007174734035,0.1,1,9,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 100}",0.857611440184984,0.8311509430765482,0.7535199582525729,0.8611339899428225,0.8564805579089654,0.8319793778731788,0.040654320011158214,40,-5.9718352540227,-7.020471225745252,-8.201883182870215,-5.995416989868858,-6.5417364103430735,-6.74626861257002,0.8245434443659114,40
0.18970375061035155,0.015503430034605662,0.0020010948181152345,1.9625774028069188e-06,0.1,1,9,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}",0.85761143678764,0.8311509560520269,0.7535199419060306,0.8611340003985416,0.8564805397410998,0.8319793749770679,0.04065432514915386,41,-5.971835325265711,-7.020470955995517,-8.201883454844424,-5.995416764160648,-6.541736824396324,-6.746268664932525,0.8245435296341628,41
0.488999080657959,0.04700936393316292,0.0020993709564208984,0.00020119243055379162,0.1,1,9,500,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 9, 'n_estimators': 500}",0.8576114265955663,0.8311509747366335,0.7535199133609514,0.8611340317655489,0.8564805020847784,0.8319793697086958,0.04065433476574117,42,-5.971835538995601,-7.020470567557604,-8.201883929778193,-5.995416087039206,-6.541737682599552,-6.746268761194031,0.8245437120815926,42
0.16629886627197266,0.007187498047221288,0.0025005340576171875,0.00031613026962856283,0.1,0.01,9,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.6574406628767347,0.7430751927533196,0.7779038936181295,0.8011144762035112,0.7694417445116744,0.7497951939926738,0.04976800679727325,43,-9.262712284801344,-8.66004131057217,-7.785619454867155,-7.175018122184201,-8.291402742456468,-8.234958782976268,0.7163153457142605,43
0.23358755111694335,0.059737599836463075,0.0026253223419189452,0.00019414497361533372,0.01,0.01,9,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.6559648097259179,0.7441826722738784,0.7768410825532323,0.800535880227555,0.7691637680316166,0.74933764256244,0.050031657244295424,44,-9.282644175669173,-8.641356512886139,-7.804225739678382,-7.185447291656033,-8.296399572114243,-8.242014658400795,0.7146097068497924,44
0.15108656883239746,0.010638904788885491,0.00237421989440918,0.0001876716445509405,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.6575243019117153,0.7283652958938216,0.7778550244388199,0.8040689035004613,0.7644474910814644,0.7464522033652565,0.050724667696592035,45,-9.261581427271503,-8.904500679329084,-7.786475966743947,-7.121526588292993,-8.380724018186342,-8.290961735964775,0.767941969610079,45
0.1276003360748291,0.0032766421513256232,0.002199554443359375,0.00024516537856495677,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.6572689531616935,0.7282859298464665,0.7775657305796644,0.8033358112236126,0.7629834101860726,0.7458879669995019,0.050515643150822374,46,-9.265033486200842,-8.905801439868085,-7.791544383851985,-7.134837037465859,-8.406728943399887,-8.300789058157331,0.7649581441078156,46
0.07359929084777832,0.00283611294490378,0.0020010948181152345,2.6523464174601326e-06,0.1,0.01,3,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.5808604513757026,0.6414829745907091,0.6941969570103035,0.708983597735434,0.684005508151522,0.6619058977727341,0.046331145663256426,47,-10.245887670998465,-10.229910549583916,-9.135737268732294,-8.679209054882222,-9.706830104392663,-9.599514929717913,0.6146162261149033,47
0.06876440048217773,0.0008053287137583493,0.001900482177734375,0.00020065664561980389,0.01,0.01,3,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.5808604513757026,0.6414829745907091,0.6941969570103035,0.708983597735434,0.684005508151522,0.6619058977727341,0.046331145663256426,47,-10.245887670998465,-10.229910549583916,-9.135737268732294,-8.679209054882222,-9.706830104392663,-9.599514929717913,0.6146162261149033,47
0.08237638473510742,0.001721327083372869,0.002041530609130859,7.436800993500569e-05,0.01,0.01,9,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",-0.1290077258454252,-0.013183879015425948,0.08070160839621698,0.11688717840798635,0.04249328874740754,0.019578094138151945,0.08588520338891609,49,-16.815846196231615,-17.197332158376145,-15.839845826437259,-15.119224322922399,-16.896960370088227,-16.37384177481113,0.7754191135853538,49
0.08050031661987304,0.003833668225848541,0.0024003982543945312,0.00037346490795669925,0.1,0.01,9,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",-0.1289005640305365,-0.013199596899190036,0.08015277689041511,0.1170953893794292,0.04133466402769381,0.019296533873562317,0.08575798035806462,50,-16.815048124031367,-17.197465552040015,-15.84457340422252,-15.11744189270597,-16.907180307450922,-16.376341856090157,0.7766728499483888,50
0.06767153739929199,0.006223404348485365,0.0026021480560302736,0.0008160941181206652,0.01,0.01,6,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",-0.1377249744051281,-0.020902677828354088,0.07530798250539938,0.13204107668067377,0.0444370413497156,0.018631689660461314,0.09246640473297521,51,-16.880640279418767,-17.262715593597658,-15.886244937223054,-14.988942783703228,-16.879801119168278,-16.379668942622196,0.831680510810862,51
0.06400046348571778,0.002366018826238932,0.0020999908447265625,0.00037544596607866284,0.1,0.01,6,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",-0.1376354491333689,-0.020989213030391474,0.07542642260206622,0.1319610920120171,0.044094256620862304,0.018571421814237054,0.09241942856268233,52,-16.879976114672086,-17.26344720149712,-15.885227501901381,-14.989633402793041,-16.882828454615773,-16.380222535095882,0.8320108628787526,52
